"","sample","phenSumTIC","sapSumTIC","species_code","logPhen","logSap","phenTICpct","sapTICpct","percent_extracted","percent_tyrosine","tyr.final.pct","phensap.final.pct","phen.final.pct","sap.final.pct"
"270","N16_1865",6455134.019458,109472.573487,"N16",15.6803863441632,11.6034293264274,0.983323818124204,0.0166761818757959,28.81666667,0.0533666666666667,0.15625609992619,0.84374390007381,0.829673473339586,0.0140704267342243
"271","N16_1882",16857974.646985,44171.812835,"N16",16.6403343756225,10.6958421459716,0.997386615188786,0.00261338481121352,28.81666667,0.0533666666666667,0.15625609992619,0.84374390007381,0.841538872580803,0.00220502749300696
"272","N18_1774",5034643.27475,7520.47058,"N18",15.4318532325186,8.92538399211368,0.998508483468637,0.00149151653136322,39.28,0,0,1,0.998508483468637,0.00149151653136322
"273","N18_1775",5341334.532606,3873.915679,"N18",15.4909860921865,8.262021077855,0.999275254516923,0.00072474548307708,39.28,0,0,1,0.999275254516923,0.00072474548307708
"274","N18_1821",12603859.649574,26669.571228,"N18",16.3495136464096,10.1912785401064,0.997888483470346,0.0021115165296539,39.28,0,0,1,0.997888483470346,0.0021115165296539
"275","N18_1850",13319161.134993,19249.562041,"N18",16.40471424324,9.86524358834024,0.998556832408431,0.00144316759156924,39.28,0,0,1,0.998556832408431,0.00144316759156924
"276","N18_1871",12559804.255695,18337.358094,"N18",16.3460121341452,9.81669568385279,0.998542125008841,0.00145787499115906,39.28,0,0,1,0.998542125008841,0.00145787499115906
"277","N19_1818",5484842.607286,255474.000489,"N19",15.5174989561633,12.4508759241095,0.955494789234626,0.0445052107653735,29.24,0,0,1,0.955494789234626,0.0445052107653735
"278","N19_1839",12268907.805312,315268.25253,"N19",16.3225787993032,12.6611791507395,0.974947247155404,0.0250527528445962,29.24,0,0,1,0.974947247155404,0.0250527528445962
"279","N19_1847",16962807.974056,49056.007675,"N19",16.6465337391318,10.8007179381254,0.997116364924638,0.00288363507536159,29.24,0,0,1,0.997116364924638,0.00288363507536159
"280","N19_1861",6789148.567036,217908.794463,"N19",15.7308360965376,12.2918318802055,0.968901525530485,0.0310984744695145,29.24,0,0,1,0.968901525530485,0.0310984744695145
"281","N19_1867",10229275.319352,227579.470595,"N19",16.1407642966456,12.3352547776714,0.978236336339509,0.0217636636604909,29.24,0,0,1,0.978236336339509,0.0217636636604909
"282","N20_1631",46594221.83255,2934185.122592,"N20",17.6569870963982,14.8919403313292,0.940757530819647,0.0592424691803534,52.24,0,0,1,0.940757530819647,0.0592424691803534
"283","N20_1721_2",50705384.132952,2406637.353563,"N20",17.7415426588392,14.6937410421668,0.954687521088346,0.0453124789116535,52.24,0,0,1,0.954687521088346,0.0453124789116535
